Complaint_ID,Complaint_Date,Complaint_Time,Complaint_Channel,Complainant_Age,Complainant_Gender,Complainant_State,Complainant_District,Complainant_City,Complainant_Pincode,Complainant_ID_Type,Incident_Date,Incident_Time,Incident_Type,Fraud_Type,Incident_Description,Incident_State,Incident_District,Incident_City,Incident_Location,Transaction_ID,Transaction_Amount,Payment_Mode,Bank_Name,ATM_ID,ATM_Location,Evidence_Available,Bank_Statement_Available,Transaction_Receipt_Available,Screenshot_Available
CMP_20260602_02175,2026-06-02,04:29:02,Police Station,47,Female,Jharkhand,Deoghar,Deoghar,502673,Passport,2026-06-01,02:29:02,Financial Cyber-Fraud,Vishing / Customer Care Scam,Victim reported unauthorized transfer followed by ATM cashout ring in Deoghar,Jharkhand,Deoghar,Deoghar,Deoghar Commercial Sector,TXN_20260601_055723,75000.0,UPI,Punjab National Bank,ATM_DEO_0553,"Railway Station Kiosk, Deoghar",1,1,1,1
CMP_20260602_01993,2026-06-02,05:12:50,Cyber Cell Desk,69,Male,Rajasthan,Alwar,Alwar,607311,Driving License,2026-06-02,03:12:50,Financial Cyber-Fraud,Unauthorized ATM Cash-Out,Victim reported unauthorized transfer followed by ATM cashout ring in Alwar,Rajasthan,Alwar,Alwar,Alwar Commercial Sector,TXN_20260602_055177,95000.0,UPI,Canara Bank,ATM_ALW_0266,"Commercial Area Kiosk, Alwar",1,1,0,0
CMP_20260602_01641,2026-06-02,05:23:02,Online Grievance,42,Male,Rajasthan,Bharatpur,Kaman,467346,Driving License,2026-06-01,02:23:02,Financial Cyber-Fraud,OTP / SIM-Swap Fraud,Victim reported unauthorized transfer followed by ATM cashout ring in Kaman,Rajasthan,Bharatpur,Kaman,Kaman Commercial Sector,TXN_20260601_054121,15000.0,UPI,Bank of Baroda,ATM_KAM_0029,"Commercial Area Kiosk, Kaman",1,1,1,1
CMP_20260602_01573,2026-06-02,05:46:39,Police Station,71,Female,Uttar Pradesh,Mathura,Mathura,253290,Passport,2026-06-01,02:46:39,Financial Cyber-Fraud,ATM Skimming,Victim reported unauthorized transfer followed by ATM cashout ring in Mathura,Uttar Pradesh,Mathura,Mathura,Mathura Commercial Sector,TXN_20260601_053917,75000.0,UPI,Punjab National Bank,ATM_MAT_0241,"Commercial Area Kiosk, Mathura",1,1,1,0
CMP_20260602_01894,2026-06-02,06:32:17,Bank Helpline,69,Female,Delhi,Central Delhi,Delhi,122348,Ration Card,2026-06-01,23:32:17,Financial Cyber-Fraud,UPI Phishing & Impersonation,Victim reported unauthorized transfer followed by ATM cashout ring in Delhi,Delhi,Central Delhi,Delhi,Delhi Commercial Sector,TXN_20260601_054880,95000.0,UPI,State Bank of India,ATM_DEL_0582,"Railway Station Kiosk, Delhi",1,1,1,1
CMP_20260602_02518,2026-06-02,06:36:27,Online Grievance,25,Male,West Bengal,Purba Bardhaman,Bardhaman,439805,Ration Card,2026-06-01,04:36:27,Financial Cyber-Fraud,UPI Phishing & Impersonation,Victim reported unauthorized transfer followed by ATM cashout ring in Bardhaman,West Bengal,Purba Bardhaman,Bardhaman,Bardhaman Commercial Sector,TXN_20260601_056752,25000.0,UPI,HDFC Bank,ATM_BAR_0386,"Shopping Mall Kiosk, Bardhaman",1,1,1,1
CMP_20260602_00896,2026-06-02,07:57:56,Bank Helpline,26,Female,West Bengal,Kolkata,Kolkata,165610,Govt Employee ID,2026-06-01,10:57:56,Financial Cyber-Fraud,UPI Phishing & Impersonation,Victim reported unauthorized transfer followed by ATM cashout ring in Kolkata,West Bengal,Kolkata,Kolkata,Kolkata Commercial Sector,TXN_20260601_051886,95000.0,UPI,Axis Bank,ATM_KOL_0560,"Railway Station Kiosk, Kolkata",1,1,1,1
CMP_20260602_02053,2026-06-02,09:52:48,Bank Helpline,52,Female,West Bengal,Purba Bardhaman,Bardhaman,383419,Driving License,2026-06-02,01:52:48,Financial Cyber-Fraud,Card Cloning,Victim reported unauthorized transfer followed by ATM cashout ring in Bardhaman,West Bengal,Purba Bardhaman,Bardhaman,Bardhaman Commercial Sector,TXN_20260602_055357,75000.0,UPI,State Bank of India,ATM_BAR_0130,"Market Kiosk, Bardhaman",1,1,1,0
CMP_20260602_00854,2026-06-02,09:54:54,Police Station,34,Male,Haryana,Faridabad,Faridabad,697759,Ration Card,2026-06-02,00:54:54,Financial Cyber-Fraud,Unauthorized ATM Cash-Out,Victim reported unauthorized transfer followed by ATM cashout ring in Faridabad,Haryana,Faridabad,Faridabad,Faridabad Commercial Sector,TXN_20260602_051760,95000.0,UPI,State Bank of India,ATM_FAR_0124,"Shopping Mall Kiosk, Faridabad",1,1,0,0
CMP_20260602_02910,2026-06-02,10:43:01,Cyber Cell Desk,29,Male,Rajasthan,Bharatpur,Bharatpur,560631,Passport,2026-06-02,00:43:01,Financial Cyber-Fraud,OTP / SIM-Swap Fraud,Victim reported unauthorized transfer followed by ATM cashout ring in Bharatpur,Rajasthan,Bharatpur,Bharatpur,Bharatpur Commercial Sector,TXN_20260602_057928,25000.0,UPI,State Bank of India,ATM_BHA_0112,"Market Kiosk, Bharatpur",1,1,1,1
CMP_20260602_01057,2026-06-02,12:45:32,Online Grievance,36,Female,Bihar,Nalanda,Nalanda,518029,Passport,2026-06-01,22:45:32,Financial Cyber-Fraud,OTP / SIM-Swap Fraud,Victim reported unauthorized transfer followed by ATM cashout ring in Nalanda,Bihar,Nalanda,Nalanda,Nalanda Commercial Sector,TXN_20260601_052369,49000.0,UPI,HDFC Bank,ATM_NAL_0588,"Shopping Mall Kiosk, Nalanda",1,1,0,1
CMP_20260602_02796,2026-06-02,13:23:52,Online Grievance,24,Male,West Bengal,Kolkata,Kolkata,118397,Govt Employee ID,2026-06-02,00:23:52,Financial Cyber-Fraud,Unauthorized ATM Cash-Out,Victim reported unauthorized transfer followed by ATM cashout ring in Kolkata,West Bengal,Kolkata,Kolkata,Kolkata Commercial Sector,TXN_20260602_057586,25000.0,UPI,Union Bank of India,ATM_KOL_0521,"Shopping Mall Kiosk, Kolkata",1,1,1,1
CMP_20260602_02772,2026-06-02,16:17:37,Bank Helpline,52,Male,West Bengal,Kolkata,Kolkata,625452,Govt Employee ID,2026-06-02,14:17:37,Financial Cyber-Fraud,OTP / SIM-Swap Fraud,Victim reported unauthorized transfer followed by ATM cashout ring in Kolkata,West Bengal,Kolkata,Kolkata,Kolkata Commercial Sector,TXN_20260602_057514,49000.0,UPI,State Bank of India,ATM_KOL_0160,"Commercial Area Kiosk, Kolkata",1,1,1,1
CMP_20260602_00017,2026-06-02,16:48:16,Online Grievance,59,Female,Rajasthan,Bharatpur,Kaman,321725,Passport,2026-06-01,03:48:16,Financial Cyber-Fraud,ATM Skimming,Victim reported unauthorized transfer followed by ATM cashout ring in Kaman,Rajasthan,Bharatpur,Kaman,Kaman Commercial Sector,TXN_20260601_049249,25000.0,UPI,HDFC Bank,ATM_KAM_0189,"Market Kiosk, Kaman",1,1,1,1
CMP_20260602_00924,2026-06-02,17:54:31,Bank Helpline,68,Male,Uttar Pradesh,Mathura,Mathura,618833,Driving License,2026-06-02,00:54:31,Financial Cyber-Fraud,Card Cloning,Victim reported unauthorized transfer followed by ATM cashout ring in Mathura,Uttar Pradesh,Mathura,Mathura,Mathura Commercial Sector,TXN_20260602_051970,15000.0,UPI,Axis Bank,ATM_MAT_0247,"Railway Station Kiosk, Mathura",1,1,1,1
CMP_20260602_00557,2026-06-02,18:47:50,Cyber Cell Desk,33,Male,Delhi,Central Delhi,Delhi,481255,Voter ID,2026-06-01,14:47:50,Financial Cyber-Fraud,Unauthorized ATM Cash-Out,Victim reported unauthorized transfer followed by ATM cashout ring in Delhi,Delhi,Central Delhi,Delhi,Delhi Commercial Sector,TXN_20260601_050869,95000.0,UPI,State Bank of India,ATM_DEL_0171,"Commercial Area Kiosk, Delhi",1,1,1,1
CMP_20260602_00231,2026-06-02,19:19:36,NCRP 1930 Portal,34,Female,Bihar,Patna,Patna,670293,Driving License,2026-06-01,04:19:36,Financial Cyber-Fraud,ATM Skimming,Victim reported unauthorized transfer followed by ATM cashout ring in Patna,Bihar,Patna,Patna,Patna Commercial Sector,TXN_20260601_049891,95000.0,UPI,ICICI Bank,ATM_PAT_0028,"Commercial Area Kiosk, Patna",1,1,0,1
CMP_20260602_00203,2026-06-02,19:56:20,Online Grievance,68,Female,Rajasthan,Alwar,Alwar,400679,Driving License,2026-06-02,10:56:20,Financial Cyber-Fraud,Unauthorized ATM Cash-Out,Victim reported unauthorized transfer followed by ATM cashout ring in Alwar,Rajasthan,Alwar,Alwar,Alwar Commercial Sector,TXN_20260602_049807,15000.0,UPI,Axis Bank,ATM_ALW_0186,"Market Kiosk, Alwar",1,1,0,1
CMP_20260602_00846,2026-06-02,20:35:24,Police Station,53,Female,Haryana,Gurugram,Gurgaon/Gurugram,642945,Ration Card,2026-06-01,03:35:24,Financial Cyber-Fraud,Unauthorized ATM Cash-Out,Victim reported unauthorized transfer followed by ATM cashout ring in Gurgaon/Gurugram,Haryana,Gurugram,Gurgaon/Gurugram,Gurgaon/Gurugram Commercial Sector,TXN_20260601_051736,95000.0,UPI,State Bank of India,ATM_GUR_0271,"Educational Area Kiosk, Gurgaon/Gurugram",1,1,1,1
CMP_20260602_01244,2026-06-02,20:40:21,Bank Helpline,46,Male,Delhi,Central Delhi,Delhi,318592,Driving License,2026-06-02,19:40:21,Financial Cyber-Fraud,UPI Phishing & Impersonation,Victim reported unauthorized transfer followed by ATM cashout ring in Delhi,Delhi,Central Delhi,Delhi,Delhi Commercial Sector,TXN_20260602_052930,75000.0,UPI,IndusInd Bank,ATM_DEL_0311,"Railway Station Kiosk, Delhi",1,1,1,1
CMP_20260602_00197,2026-06-02,22:03:15,Police Station,31,Female,West Bengal,Kolkata,Kolkata,266909,Passport,2026-06-02,05:03:15,Financial Cyber-Fraud,OTP / SIM-Swap Fraud,Victim reported unauthorized transfer followed by ATM cashout ring in Kolkata,West Bengal,Kolkata,Kolkata,Kolkata Commercial Sector,TXN_20260602_049789,95000.0,UPI,Kotak Mahindra Bank,ATM_KOL_0399,"Highway Kiosk, Kolkata",1,1,1,1
CMP_20260602_02416,2026-06-02,22:04:50,Online Grievance,51,Female,Uttar Pradesh,Mathura,Mathura,382798,Govt Employee ID,2026-06-01,02:04:50,Financial Cyber-Fraud,Card Cloning,Victim reported unauthorized transfer followed by ATM cashout ring in Mathura,Uttar Pradesh,Mathura,Mathura,Mathura Commercial Sector,TXN_20260601_056446,75000.0,UPI,Bank of Baroda,ATM_MAT_0231,"Shopping Mall Kiosk, Mathura",1,1,1,1
CMP_20260602_01738,2026-06-02,23:12:26,Online Grievance,71,Male,West Bengal,Howrah,Howrah,257447,Voter ID,2026-06-02,15:12:26,Financial Cyber-Fraud,ATM Skimming,Victim reported unauthorized transfer followed by ATM cashout ring in Howrah,West Bengal,Howrah,Howrah,Howrah Commercial Sector,TXN_20260602_054412,25000.0,UPI,Punjab National Bank,ATM_HOW_0473,"Shopping Mall Kiosk, Howrah",1,1,1,0
CMP_20260602_03045,2026-06-02,23:32:07,NCRP 1930 Portal,48,Female,West Bengal,Kolkata,Kolkata,561457,Govt Employee ID,2026-06-01,16:32:07,Financial Cyber-Fraud,Unauthorized ATM Cash-Out,Victim reported unauthorized transfer followed by ATM cashout ring in Kolkata,West Bengal,Kolkata,Kolkata,Kolkata Commercial Sector,TXN_20260601_058333,95000.0,UPI,Bank of Baroda,ATM_KOL_0011,"Market Kiosk, Kolkata",1,1,1,1
CMP_20260602_00482,2026-06-02,23:59:25,NCRP 1930 Portal,53,Male,West Bengal,Kolkata,Kolkata,625221,Driving License,2026-06-02,02:59:25,Financial Cyber-Fraud,Unauthorized ATM Cash-Out,Victim reported unauthorized transfer followed by ATM cashout ring in Kolkata,West Bengal,Kolkata,Kolkata,Kolkata Commercial Sector,TXN_20260602_050644,25000.0,UPI,Punjab National Bank,ATM_KOL_0401,"Shopping Mall Kiosk, Kolkata",1,1,0,1
CMP_20260603_02892,2026-06-03,00:50:12,Police Station,47,Female,Rajasthan,Bharatpur,Kaman,636953,Govt Employee ID,2026-06-01,19:50:12,Financial Cyber-Fraud,Investment / Task Scam,Victim reported unauthorized transfer followed by ATM cashout ring in Kaman,Rajasthan,Bharatpur,Kaman,Kaman Commercial Sector,TXN_20260601_057874,15000.0,UPI,Punjab National Bank,ATM_KAM_0321,"Commercial Area Kiosk, Kaman",1,1,1,0
CMP_20260603_01268,2026-06-03,01:31:43,Bank Helpline,52,Male,Rajasthan,Alwar,Alwar,804068,Ration Card,2026-06-01,13:31:43,Financial Cyber-Fraud,Card Cloning,Victim reported unauthorized transfer followed by ATM cashout ring in Alwar,Rajasthan,Alwar,Alwar,Alwar Commercial Sector,TXN_20260601_053002,15000.0,UPI,Bank of Baroda,ATM_ALW_0573,"Bus Stand Kiosk, Alwar",1,1,1,1
CMP_20260603_00888,2026-06-03,02:39:19,Online Grievance,68,Male,Jharkhand,Dumka,Dumka,184348,Voter ID,2026-06-02,02:39:19,Financial Cyber-Fraud,ATM Skimming,Victim reported unauthorized transfer followed by ATM cashout ring in Dumka,Jharkhand,Dumka,Dumka,Dumka Commercial Sector,TXN_20260602_051862,25000.0,UPI,Bank of Baroda,ATM_DUM_0209,"Commercial Area Kiosk, Dumka",1,1,1,1
CMP_20260603_00712,2026-06-03,04:11:50,NCRP 1930 Portal,30,Female,West Bengal,Kolkata,Kolkata,324456,Voter ID,2026-06-01,10:11:50,Financial Cyber-Fraud,UPI Phishing & Impersonation,Victim reported unauthorized transfer followed by ATM cashout ring in Kolkata,West Bengal,Kolkata,Kolkata,Kolkata Commercial Sector,TXN_20260601_051334,49000.0,UPI,State Bank of India,ATM_KOL_0055,"Railway Station Kiosk, Kolkata",1,1,1,0
CMP_20260603_02957,2026-06-03,05:09:30,Online Grievance,66,Male,Jharkhand,Dhanbad,Dhanbad,158948,Voter ID,2026-06-01,12:09:30,Financial Cyber-Fraud,Investment / Task Scam,Victim reported unauthorized transfer followed by ATM cashout ring in Dhanbad,Jharkhand,Dhanbad,Dhanbad,Dhanbad Commercial Sector,TXN_20260601_058069,15000.0,UPI,Punjab National Bank,ATM_DHA_0175,"Market Kiosk, Dhanbad",1,1,0,1
CMP_20260603_02599,2026-06-03,06:30:13,Police Station,36,Female,Rajasthan,Bharatpur,Bharatpur,435809,Driving License,2026-06-01,12:30:13,Financial Cyber-Fraud,Card Cloning,Victim reported unauthorized transfer followed by ATM cashout ring in Bharatpur,Rajasthan,Bharatpur,Bharatpur,Bharatpur Commercial Sector,TXN_20260601_056995,15000.0,UPI,HDFC Bank,ATM_BHA_0162,"Market Kiosk, Bharatpur",1,1,1,1
CMP_20260603_02975,2026-06-03,07:30:41,Bank Helpline,69,Male,Rajasthan,Bharatpur,Kaman,592246,Driving License,2026-06-02,23:30:41,Financial Cyber-Fraud,Unauthorized ATM Cash-Out,Victim reported unauthorized transfer followed by ATM cashout ring in Kaman,Rajasthan,Bharatpur,Kaman,Kaman Commercial Sector,TXN_20260602_058123,25000.0,UPI,Kotak Mahindra Bank,ATM_KAM_0459,"Shopping Mall Kiosk, Kaman",1,1,1,1
CMP_20260603_00835,2026-06-03,08:13:38,NCRP 1930 Portal,42,Female,Haryana,Faridabad,Faridabad,212045,Voter ID,2026-06-01,11:13:38,Financial Cyber-Fraud,Unauthorized ATM Cash-Out,Victim reported unauthorized transfer followed by ATM cashout ring in Faridabad,Haryana,Faridabad,Faridabad,Faridabad Commercial Sector,TXN_20260601_051703,25000.0,UPI,HDFC Bank,ATM_FAR_0302,"Shopping Mall Kiosk, Faridabad",1,1,0,1
CMP_20260603_02302,2026-06-03,08:49:05,Police Station,41,Female,Uttar Pradesh,Mathura,Mathura,435491,Govt Employee ID,2026-06-02,19:49:05,Financial Cyber-Fraud,ATM Skimming,Victim reported unauthorized transfer followed by ATM cashout ring in Mathura,Uttar Pradesh,Mathura,Mathura,Mathura Commercial Sector,TXN_20260602_056104,49000.0,UPI,ICICI Bank,ATM_MAT_0342,"Educational Area Kiosk, Mathura",1,1,1,1
CMP_20260603_02447,2026-06-03,09:38:55,NCRP 1930 Portal,25,Female,Haryana,Gurugram,Gurgaon/Gurugram,640975,Passport,2026-06-01,22:38:55,Financial Cyber-Fraud,ATM Skimming,Victim reported unauthorized transfer followed by ATM cashout ring in Gurgaon/Gurugram,Haryana,Gurugram,Gurgaon/Gurugram,Gurgaon/Gurugram Commercial Sector,TXN_20260601_056539,49000.0,UPI,Union Bank of India,ATM_GUR_0385,"Bus Stand Kiosk, Gurgaon/Gurugram",1,1,0,1
CMP_20260603_02246,2026-06-03,10:49:41,Cyber Cell Desk,40,Male,Delhi,Central Delhi,Delhi,304804,Driving License,2026-06-02,22:49:41,Financial Cyber-Fraud,OTP / SIM-Swap Fraud,Victim reported unauthorized transfer followed by ATM cashout ring in Delhi,Delhi,Central Delhi,Delhi,Delhi Commercial Sector,TXN_20260602_055936,15000.0,UPI,Axis Bank,ATM_DEL_0578,"Market Kiosk, Delhi",1,1,1,1
CMP_20260603_00297,2026-06-03,11:51:52,Online Grievance,48,Male,Rajasthan,Bharatpur,Bharatpur,498566,Ration Card,2026-06-01,23:51:52,Financial Cyber-Fraud,ATM Skimming,Victim reported unauthorized transfer followed by ATM cashout ring in Bharatpur,Rajasthan,Bharatpur,Bharatpur,Bharatpur Commercial Sector,TXN_20260601_050089,49000.0,UPI,State Bank of India,ATM_BHA_0541,"Commercial Area Kiosk, Bharatpur",1,1,0,1
CMP_20260603_02604,2026-06-03,12:10:18,Online Grievance,50,Male,West Bengal,Purba Bardhaman,Bardhaman,568000,Ration Card,2026-06-02,02:10:18,Financial Cyber-Fraud,ATM Skimming,Victim reported unauthorized transfer followed by ATM cashout ring in Bardhaman,West Bengal,Purba Bardhaman,Bardhaman,Bardhaman Commercial Sector,TXN_20260602_057010,25000.0,UPI,HDFC Bank,ATM_BAR_0258,"Market Kiosk, Bardhaman",1,1,1,1
CMP_20260603_01303,2026-06-03,12:22:37,NCRP 1930 Portal,67,Female,Rajasthan,Alwar,Alwar,685300,Govt Employee ID,2026-06-03,01:22:37,Financial Cyber-Fraud,ATM Skimming,Victim reported unauthorized transfer followed by ATM cashout ring in Alwar,Rajasthan,Alwar,Alwar,Alwar Commercial Sector,TXN_20260603_053107,25000.0,UPI,ICICI Bank,ATM_ALW_0373,"Bus Stand Kiosk, Alwar",1,1,1,1
CMP_20260603_02660,2026-06-03,13:44:25,Police Station,28,Male,Jharkhand,Dumka,Dumka,602413,Voter ID,2026-06-02,02:44:25,Financial Cyber-Fraud,Vishing / Customer Care Scam,Victim reported unauthorized transfer followed by ATM cashout ring in Dumka,Jharkhand,Dumka,Dumka,Dumka Commercial Sector,TXN_20260602_057178,15000.0,UPI,Union Bank of India,ATM_DUM_0572,"Market Kiosk, Dumka",1,1,1,1
CMP_20260603_01684,2026-06-03,14:48:30,Police Station,65,Male,Uttar Pradesh,Mathura,Mathura,841006,Voter ID,2026-06-03,01:48:30,Financial Cyber-Fraud,Card Cloning,Victim reported unauthorized transfer followed by ATM cashout ring in Mathura,Uttar Pradesh,Mathura,Mathura,Mathura Commercial Sector,TXN_20260603_054250,15000.0,UPI,ICICI Bank,ATM_MAT_0003,"Market Kiosk, Mathura",1,1,0,1
CMP_20260603_00602,2026-06-03,14:51:23,Bank Helpline,25,Male,Delhi,Central Delhi,Delhi,719256,Driving License,2026-06-02,02:51:23,Financial Cyber-Fraud,Investment / Task Scam,Victim reported unauthorized transfer followed by ATM cashout ring in Delhi,Delhi,Central Delhi,Delhi,Delhi Commercial Sector,TXN_20260602_051004,75000.0,UPI,Bank of Baroda,ATM_DEL_0030,"Commercial Area Kiosk, Delhi",1,1,1,0
CMP_20260603_01232,2026-06-03,15:14:25,Cyber Cell Desk,44,Male,Rajasthan,Alwar,Alwar,388532,Govt Employee ID,2026-06-02,03:14:25,Financial Cyber-Fraud,Card Cloning,Victim reported unauthorized transfer followed by ATM cashout ring in Alwar,Rajasthan,Alwar,Alwar,Alwar Commercial Sector,TXN_20260602_052894,75000.0,UPI,ICICI Bank,ATM_ALW_0008,"Commercial Area Kiosk, Alwar",1,1,0,1
CMP_20260603_00491,2026-06-03,15:43:44,Police Station,71,Male,Rajasthan,Jaipur,Jaipur,784026,Driving License,2026-06-03,03:43:44,Financial Cyber-Fraud,Investment / Task Scam,Victim reported unauthorized transfer followed by ATM cashout ring in Jaipur,Rajasthan,Jaipur,Jaipur,Jaipur Commercial Sector,TXN_20260603_050671,25000.0,UPI,HDFC Bank,ATM_JAI_0427,"Commercial Area Kiosk, Jaipur",1,1,1,1
CMP_20260603_01123,2026-06-03,16:46:38,Police Station,71,Female,West Bengal,Purba Bardhaman,Bardhaman,237897,Passport,2026-06-02,23:46:38,Financial Cyber-Fraud,Unauthorized ATM Cash-Out,Victim reported unauthorized transfer followed by ATM cashout ring in Bardhaman,West Bengal,Purba Bardhaman,Bardhaman,Bardhaman Commercial Sector,TXN_20260602_052567,75000.0,UPI,ICICI Bank,ATM_BAR_0500,"Shopping Mall Kiosk, Bardhaman",1,1,1,1
CMP_20260603_00143,2026-06-03,18:04:19,Bank Helpline,35,Male,West Bengal,Kolkata,Kolkata,639881,Voter ID,2026-06-03,00:04:19,Financial Cyber-Fraud,ATM Skimming,Victim reported unauthorized transfer followed by ATM cashout ring in Kolkata,West Bengal,Kolkata,Kolkata,Kolkata Commercial Sector,TXN_20260603_049627,75000.0,UPI,Kotak Mahindra Bank,ATM_KOL_0399,"Highway Kiosk, Kolkata",1,1,1,0
CMP_20260603_01219,2026-06-03,18:12:03,Online Grievance,34,Male,West Bengal,Purba Bardhaman,Bardhaman,822556,Driving License,2026-06-03,01:12:03,Financial Cyber-Fraud,Unauthorized ATM Cash-Out,Victim reported unauthorized transfer followed by ATM cashout ring in Bardhaman,West Bengal,Purba Bardhaman,Bardhaman,Bardhaman Commercial Sector,TXN_20260603_052855,95000.0,UPI,Axis Bank,ATM_BAR_0520,"Bus Stand Kiosk, Bardhaman",1,1,0,1
CMP_20260603_00235,2026-06-03,18:15:04,Cyber Cell Desk,53,Female,Bihar,Nalanda,Nalanda,467068,Passport,2026-06-03,01:15:04,Financial Cyber-Fraud,OTP / SIM-Swap Fraud,Victim reported unauthorized transfer followed by ATM cashout ring in Nalanda,Bihar,Nalanda,Nalanda,Nalanda Commercial Sector,TXN_20260603_049903,95000.0,UPI,ICICI Bank,ATM_NAL_0115,"Residential Kiosk, Nalanda",1,1,1,1
